,BONEID,MEASURE,MEASTYPE,PERIOD,RANGE,Unnamed: 0,ELEMENT
97,ABMAP27508,62.4,SLC,Roman - Saxon,950 -- 980,1812.0,Scapula
101,ABMAP1359,60.7,SLC,Roman - Saxon,43 -- 410,1861.0,Scapula
105,ABMAP1144,62.6,SLC,Roman - Saxon,43 -- 410,1883.0,Scapula
109,ABMAP1161,53.9,SLC,Roman - Saxon,43 -- 410,1887.0,Scapula
113,ABMAP1162,66.5,SLC,Roman - Saxon,43 -- 410,1891.0,Scapula
117,ABMAP1163,51.8,SLC,Roman - Saxon,43 -- 410,1895.0,Scapula
128,J_GRIMM_08WA56530-973,63.1,SLC,Roman - Saxon,300 -- 400,2031.0,Scapula
130,J_GRIMM_08WA57960-216,58.3,SLC,Medieval,1050 -- 1225,2065.0,Scapula
134,J_GRIMM_08WA58720-32,63.6,SLC,Medieval,1075 -- 1125,2116.0,Scapula
135,J_GRIMM_08WA58720-33,61.2,SLC,Medieval,1300 -- 1400,2131.0,Scapula
136,J_GRIMM_08WA58720-34,53.7,SLC,Medieval,1300 -- 1400,2132.0,Scapula
142,J_GRIMM_08WA59480-1250,52.7,SLC,Bronze - Iron Age,-100 -- 43,2167.0,Scapula
144,J_GRIMM_08WA59480-1138,66.8,SLC,Bronze - Iron Age,100 -- 150,2236.0,Scapula
147,ABMAP14060,52.9,SLC,Medieval,1300 -- 1499,2437.0,Scapula
151,ABMAP14061,66.0,SLC,Medieval,1300 -- 1499,2441.0,Scapula
155,ABMAP14076,70.2,SLC,Medieval,1300 -- 1499,2454.0,Scapula
159,ABMAP14082,57.0,SLC,Medieval,1300 -- 1499,2458.0,Scapula
162,ABMAP10071,65.4,SLC,Roman - Saxon,650 -- 950,2492.0,Scapula
166,ABMAP15708,51.8,SLC,Bronze - Iron Age,-400 -- -100,2531.0,Scapula
172,ABMAP15785,56.4,SLC,Bronze - Iron Age,-400 -- -100,2645.0,Scapula
175,ABMAP15786,56.4,SLC,Bronze - Iron Age,-400 -- -100,2648.0,Scapula
179,ABMAP16233,63.0,SLC,Bronze - Iron Age,-400 -- -100,2678.0,Scapula
189,ABMAP334,51.3,SLC,Bronze - Iron Age,-199 -- 0,2782.0,Scapula
191,ABMAP14458,53.0,SLC,Roman - Saxon,43 -- 410,2987.0,Scapula
196,ABMAP10859,55.0,SLC,Roman - Saxon,43 -- 410,3046.0,Scapula
